Villain,First,Last,DoctorNumbers,DoctorActors,Episodes,LogStories,Stories,Duration,Motivation_Long,Motivation_Short,Motivation_Med,Titles
Ergon (the),1983,1983,5,Peter Davison,4,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,Arc of Infinity
Hindle,1982,1982,5,Peter Davison,4,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,Kinda
Minister (of Enlightment/Persuasion),1982,1982,5,Peter Davison,4,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,Four to Doomsday
Monarch's androids,1982,1982,5,Peter Davison,4,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,Four to Doomsday
Plasmatons,1982,1982,5,Peter Davison,4,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,Time-Flight
Terileptil's android,1982,1982,5,Peter Davison,4,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,The Visitation
Grugger,1980,1980,4,Tom Baker,4,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,Meglos
Wolfweeds,1979,1979,4,Tom Baker,4,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,The Creature from the Pit
Seers,1978,1978,4,Tom Baker,4,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,Underworld
Taran androids,1978,1978,4,Tom Baker,4,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,The Androids of Tara
"Stael, Maximillion",1977,1977,4,Tom Baker,4,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,Image of the Fendahl
Super Voc SV7 robot,1977,1977,4,Tom Baker,4,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,The Robots of Death
VOC robot,1977,1977,4,Tom Baker,4,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,The Robots of Death
Kellman,1975,1975,4,Tom Baker,4,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,Revenge of the Cybermen
Kraal androids,1975,1975,4,Tom Baker,4,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,The Android Invasion
Loch Ness Monster (Skarasen),1975,1975,4,Tom Baker,4,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,Terror of the Zygons
Mummies (Osirian service robots),1975,1975,4,Tom Baker,4,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad, Pyramids of Mars
"Scarman, Marcus",1975,1975,4,Tom Baker,4,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,Pyramids of Mars
Anti-Matter Organism ,1972,1973,"1,2,3","William Hartnell, Patrick Troughton, Jon Pertwee",4,0.301029996,1,2,Serve big bad,Serve big bad,Serve big bad,The Three Doctors
Gell guards ,1972,1973,"1,2,3","William Hartnell, Patrick Troughton, Jon Pertwee",4,0.301029996,1,2,Serve big bad,Serve big bad,Serve big bad,The Three Doctors
"Grey, Solicitor",1966,1967,2,Patrick Troughton,4,0.301029996,1,2,Serve big bad,Serve big bad,Serve big bad,The Highlanders
"Chang, Li H'sen",1977,1977,4,Tom Baker,6,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,Talons of Weng Chiang
Nyder,1975,1975,4,Tom Baker,6,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,Genesis of the Daleks
Eight legs,1974,1974,3,Jon Pertwee,6,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,Planet of the Spiders
Lupton,1974,1974,3,Jon Pertwee,6,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,Planet of the Spiders
Kronos,1972,1972,3,Jon Pertwee,6,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,The Time Monster
Benik,1967,1968,2,Patrick Troughton,6,0.301029996,1,2,Serve Big Bad,Serve big bad,Serve big bad,The Enemy of the World
"Oak, Mr",1968,1968,2,Patrick Troughton,6,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,Fury from the Deep
"Quill, Mr",1968,1968,2,Patrick Troughton,6,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,Fury from the Deep
Bragen,1966,1966,2,Patrick Troughton,6,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,The Power of the Daleks
"Dracula, Robot Count",1965,1965,1,William Hartnell,6,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,The Chase
Frankenstein's monster robot,1965,1965,1,William Hartnell,6,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,The Chase
Grey Lady robot,1965,1965,1,William Hartnell,6,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,The Chase
Robomen,1964,1964,1,Wiliam Hartnell,6,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,The Dalek Invasion of Earth
Slyther,1964,1964,1,Wiliam Hartnell,6,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,The Dalek Invasion of Earth
Yartek,1964,1964,1,William Hartnell,6,0.301029996,1,1,Serve big Bad,Serve big bad,Serve big bad,The Keys of Marinus
"Quinlan, Sir James",1970,1970,7,Jon Pertwee,7,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,The Ambassadors of Death
"Taltalian, Bruno",1970,1970,7,Jon Pertwee,7,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,The Ambassadors of Death
"Maxtible, Theodore",1967,1967,2,Patrick Troughton,7,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,Evil of the Daleks
Squawk,2007,2007,10,David Tennant,13,0.301029996,1,1,Serve big bad,Serve big bad,Serve big bad,The Infinite Quest 
Cyber-leader,1975,1988,"1,2,3,4,5,6,7","William Hartnell, Patrick Troughton, Jon Pertwee, Tom Baker, Peter Davison, Colin Baker, Sylvester Mc Coy ",14,0.77815125,5,14,Serve big bad ,Serve big bad,Serve big bad,"Revenge of the Cybermen, Earthshock, The Five Doctors, Attack of the Cybermen, Silver Nemesis"
Chip,2006,2006,10,David Tennant,1,0.301029996,1,1,Serve big bad ,Serve big bad,Serve big bad,New Earth
Crane (Mr),2006,2006,10,David Tennant,2,0.301029996,1,1,Serve big bad ,Serve big bad,Serve big bad,Raise of the Cybermen/The Age of Steel
White Robot,1968,1968,2,Patrick Troughton,5,0.301029996,1,1,Serve big bad ,Serve big bad,Serve big bad,The Mind Robber 
Mongol Bandit ,1964,1964,1,William Hartnell ,7,0.301029996,1,1,Serve big bad ,Serve big bad,Serve big bad,Marco Polo
"Gray, Steve",2008,2008,10,David Tennant,2,0.301029996,1,1,"Serve big bad, fight",Serve big bad,Serve big bad,The Sontaran Stratagem/The Poison Sky
"Harris, Private Carl",2008,2008,10,David Tennant,2,0.301029996,1,1,"Serve big bad, fight",Serve big bad,Serve big bad,The Sontaran Stratagem/The Poison Sky
Hardaker,2007,2007,10,David Tennant,1,0.301029996,1,1,"Serve big bad, make money for family",Serve big bad,Serve big bad,Voyage of the Damned
Goth (Gothaparduskerialldrapolatkh),1969,1976,"2,4","Patrick Troughton, Tom Baker",14,0.477121255,2,8,"Serve big bad, power",Serve big bad,Serve big bad,"The War Lords, The Deadly Assassin"
"Kislet, Miss",2013,2013,11,Matt Smith,1,0.301029996,1,1,Serve Big Bad/upload humans,Serve big bad,Serve big bad,The Bells of Saint John
